name,brand,ean_code,energy_kcal_100g,carbohydrates_100g,fat_100g,proteins_100g,fiber_100g,sugars_100g,salt_100g,saturated_fat_100g,sodium_100g,category,LLM friendly name,gpt_completion,gpt_energy_kcal_100g,gpt_proteins_100g,gpt_fat_100g,gpt_carbohydrates_100g
Unsweetened Coconut UHT,Koko,5060100601861,19.0,0.4,1.4,1.2,0.2,0.2,0.1,1.2,0.04,Beverages,Unsweetened Coconut UHT milk (Koko),"<scratchpad>
Unsweetened Coconut UHT milk (Koko) is a commercially available plant-based milk alternative made primarily from coconut. Coconut milk is known for its relatively high fat content, but because this product is unsweetened and UHT (ultra-heat treated), it is likely to have a different nutritional profile compared to the raw form of coconut milk or sweetened versions.

Coconut milk (unsweetened) typically contains:
- Moderate to high fat content, primarily from coconuts
- Relatively low protein content
- Low carbohydrate content due to the absence of added sugars
- The product is often diluted with water, especially in UHT varieties, which can affect the caloric and nutrient density.

Standard unsweetened coconut milk (UHT):
- Calories: Around 20-30 kcal per 100 grams
- Protein: Generally low, roughly 0.1-0.5 grams per 100 grams
- Fat: Approximately 1-2 grams per 100 grams
- Carbohydrates: Typically around 0.5-1 grams per 100 grams

Considering these factors, the estimate for Unsweetened Coconut UHT milk (Koko) would be:
</scratchpad>

<calories>24</calories>
<protein>0.2</protein>
<fat>1.8</fat>
<carbohydrates>0.6</carbohydrates>",24.0,0.2,1.8,0.6
BLT Sandwich,REWE to go,4388844252233,255.0,18.60000038,15.19999981,9.300000191,,2.900000095,1.3,2.599999905,0.52,Composite Dishes,BLT Sandwich (REWE to go),"<scratchpad>
A BLT sandwich typically consists of bacon, lettuce, tomato, and mayonnaise, all placed between slices of bread. Therefore, its nutritional content will be a combination of these ingredients. Here's a rough breakdown by component:

1. Bread: Generally, bread provides carbohydrates and some protein.
2. Bacon: This adds fat and protein.
3. Lettuce: Contributes minimal calories, mostly water, with a tiny bit of vitamins and fiber.
4. Tomato: Low in calories, with a small amount of carbs and vitamins.
5. Mayonnaise: Adds fat and some calories due to its oil content.

Since this is a sandwich from REWE to go, it might also have some preservatives and possibly additional ingredients contributing to a slightly different nutritional profile than a homemade BLT.

Taking all these into consideration, I'll estimate the average nutritional values per 100 grams of this pre-made BLT sandwich.
</scratchpad>

<calories>250</calories>
<protein>10</protein>
<fat>15</fat>
<carbohydrates>20</carbohydrates>",250.0,10.0,15.0,20.0
Pizza fresca pepperoni,Casa Tarradellas,8410762220585,296.0,27.6,14.2,14.4,,1.8,1.7,6.7,0.68,Composite Dishes,Pizza fresca pepperoni (Casa Tarradellas),"<scratchpad>
Pizza fresca pepperoni is a prepared meal commonly available in supermarkets. It consists of a wheat-based crust, tomato sauce, cheese, and pepperoni. Considering the usual ingredients and their proportions, an estimate for nutritional values is as follows:

1. **Crust**: Made from refined wheat flour, contributing significant carbohydrates and some protein and fat. 
2. **Tomato Sauce**: Mostly water with some carbohydrates and negligible fat and protein.
3. **Cheese**: High in fat and protein, moderate in carbohydrates.
4. **Pepperoni**: High in fat and protein, low in carbohydrates.

Taking these components and their traditional proportions in a pizza recipe, we can estimate the nutritional values per 100 grams of this item.
</scratchpad>

<calories>270</calories>
<protein>12</protein>
<fat>13</fat>
<carbohydrates>27</carbohydrates>",270.0,12.0,13.0,27.0
Cream of Tomato Soup,Heinz,5000157062673,,7.2,2.3,0.9,0.6,5.1,0.6,0.2,0.24,Composite Dishes,Cream of Tomato Soup (Heinz),"<scratchpad>
Cream of Tomato Soup (Heinz) is a popular canned soup. It's likely to contain tomatoes, cream, and various seasonings. Being a soup, it will have a considerable water content, which dilutes its overall nutritional density compared to solid foods.
Typical ingredients for a cream of tomato soup might include tomatoes, water, cream, possibly sugar, salt, and various spices.

- Calories: Given the water content and the nature of the ingredients, the calorie count should be moderate, not too high.
Considering the cream, a lightly creamy soup will contribute to the calories.
- Protein: Tomatoes and cream provide minimal protein; thus, the value will be on the lower side.
- Fat: The fat content will be derived primarily from the cream.
- Carbohydrates: Mainly derived from the tomatoes and possibly added sugar.

A reasonable estimate per 100 grams based on similar products:
- Calories: 50-60 kcal
- Protein: 1-2 grams
- Fat: 2-3 grams
- Carbohydrates: 8-10 grams
</scratchpad>

<calories>56</calories>
<protein>1</protein>
<fat>2</fat>
<carbohydrates>9</carbohydrates>",56.0,1.0,2.0,9.0
Boeuf bourguignon,Lidl,20289201,64.0,5.4,1.2,7.0,,1.3,1.1,0.5,0.44,Composite Dishes,Boeuf bourguignon (Lidl),"<scratchpad>
Boeuf bourguignon is a classic French stew made with beef braised in red wine, typically accompanied by carrots, onions, mushrooms, and sometimes bacon. The Lidl version of this dish might vary slightly in ingredients but generally will maintain a similar nutritional profile.

Beef is the primary protein source, likely providing a substantial portion of protein and some fat. Red wine will contribute to the carbohydrates, alongside vegetables. The bacon, if included, adds more fat and a small amount of protein.

Estimated breakdown:
- Calories: Mainly from beef, some from vegetables and wine, plus a bit from added fats.
- Protein: Mostly from the beef.
- Fat: A combination of beef fat, bacon fat, and any added oils or butter.
- Carbohydrates: From red wine used in the braise and the vegetables.

Considering the balance and typical preparation method, a reasonable estimate for Boeuf bourguignon (Lidl) per 100 grams would be:
</scratchpad>

<calories>150</calories>
<protein>10</protein>
<fat>8</fat>
<carbohydrates>5</carbohydrates>",150.0,10.0,8.0,5.0
Lasaña Fácil,El Pavo,8410173072025,360.0,73.0,1.4,12.0,3.9,1.5,,0.2,,Composite Dishes,Lasaña Fácil (El Pavo),"<scratchpad>
""Lasaña Fácil (El Pavo)"" suggests it is a pre-made lasagna meal featuring ground turkey (pavo in Spanish). Lasagna generally contains pasta, cheese, ground meat, tomato sauce, and various seasonings. Ground turkey is leaner than beef but still contains some fat and protein. The pasta will contribute carbohydrates, and cheese will add both fat and protein. 

Considering typical lasagna nutritional content, I would estimate the following per 100 grams:

- Calories: Moderate due to the mix of carbohydrates from pasta, fats from cheese, and proteins from the turkey.
- Protein: Moderate because turkey is a good protein source and cheese also adds protein.
- Fat: Moderate, mainly from cheese and some from the turkey.
- Carbohydrates: Moderate to high due to the pasta.
</scratchpad>

<calories>180</calories>
<protein>10</protein>
<fat>8</fat>
<carbohydrates>15</carbohydrates>",180.0,10.0,8.0,15.0
Chili con carne,Hacendado,8480000231376,114.0,7.7,4.7,8.2,4.0,2.8,1.0,1.1,0.4,Composite Dishes,Chili con carne (Hacendado),"<scratchpad>
Chili con carne is a traditional dish that typically includes ground meat (usually beef), beans, tomatoes, onions, bell peppers, and a variety of spices such as chili powder, cumin, and garlic. 

For a prepared version like Hacendado Chili con carne, I will consider an average nutrient profile:

1. **Calories**: The combination of meat, beans, and other ingredients makes this a substantial dish in terms of calories.
2. **Protein**: Ground beef and beans are both good sources of protein.
3. **Fat**: Ground meat typically contains some amount of fat, and there could be added oils or fats used during preparation.
4. **Carbohydrates**: Beans and possibly some vegetables or tomatoes contribute to the carbohydrate content.

Considering these aspects, I'll reference some generic values for a similar prepared chili con carne.

Typical values could be approximately:
- Calories: 120-150 kcal per 100 grams
- Protein: 6-8 grams per 100 grams
- Fat: 5-7 grams per 100 grams
- Carbohydrates: 10-15 grams per 100 grams
</scratchpad>

<calories>130</calories>
<protein>7</protein>
<fat>6</fat>
<carbohydrates>12</carbohydrates>",130.0,7.0,6.0,12.0
Pad Thaï Crevettes,,3456700231355,147.0,23.0,3.7,6.0,1.4,4.7,1.76,0.4,0.704,Composite Dishes,Pad Thai with shrips (ready meal),"<scratchpad>
Pad Thai with shrimp is a traditional Thai dish that typically includes ingredients such as rice noodles, shrimp, eggs, tofu, bean sprouts, peanuts, and a variety of sauces (including tamarind sauce). Given that it is a ready meal, it is likely to have additional oil and possibly sugar. Therefore, it will be moderately high in calories, with a balance of protein from the shrimp and eggs, fat from the oil and peanuts, and carbohydrates from the rice noodles and sugar.
</scratchpad>

<calories>250</calories>
<protein>12</protein>
<fat>10</fat>
<carbohydrates>30</carbohydrates>",250.0,12.0,10.0,30.0
Paëlla à la Valenciana,Picard,3270160697861,140.0,15.0,5.1,7.6,1.6,1.5,0.71,1.2,0.284,Composite Dishes,Paella Valenciana (Picard),"<scratchpad>
Paella Valenciana is a traditional Spanish rice dish that typically includes ingredients such as chicken, rabbit, green beans, white beans, tomato, olive oil, saffron, and sometimes snails. The commercial preparation by Picard may contain similar ingredients but could also have variations. The dish is known for being rich in flavor and balanced in macronutrients.

Typical ingredients and their contributions:
- Rice: Major source of carbohydrates.
- Chicken/Rabbit: Source of protein and fat.
- Olive oil: Source of fat.
- Vegetables (green beans, white beans, tomato): Source of carbs, vitamins, and minor proteins.
- Saffron and other spices: Minimal macronutrient contribution.

Estimated breakdown per 100 grams:
</scratchpad>

<calories>150</calories>
<protein>8</protein>
<fat>5</fat>
<carbohydrates>20</carbohydrates>",150.0,8.0,5.0,20.0
Sheperds pie,Tesco Finest,5053947817724,126.0,12.6,4.85,7.24,1.2,2.01,0.463,2.2,0.185,Composite Dishes,Sheperds Pie (Tesco Finest),"<scratchpad>
Shepherd's Pie is a traditional British dish typically made with a ground meat base (often lamb or beef) cooked with vegetables (such as onions, carrots, and peas) and topped with mashed potatoes. As this is a prepared meal from Tesco's ""Finest"" range, it likely uses quality ingredients and has a higher fat content due to richer ingredients used in premium lines.

To estimate the nutritional content:
- Calories: Since it’s a prepared meal with meat, mashed potatoes, and possibly some added fats for flavor, it could be around mid to high range.
- Protein: Because it contains ground meat, this should be fairly high.
- Fat: Likely includes oils/butter in the mashed potatoes and meat fat content, suggesting moderate to high fat.
- Carbohydrates: Due to the mashed potato topping, it should have a significant carbohydrate content.

Breaking down the elements:
- Calories: Roughly 130-150 calories/100g, splitting the difference for a midpoint value.
- Protein: For ground meat and a hearty food, around 5-6 grams/100g could be reasonable.
- Fat: Given minced meat and possible use of butter or oil, it could be around 7 grams/100g.
- Carbohydrates: Significant due to mashed potatoes, likely around 12-14 grams/100g.
</scratchpad>

<calories>140</calories>
<protein>6</protein>
<fat>7</fat>
<carbohydrates>13</carbohydrates>",140.0,6.0,7.0,13.0
Chicken casserole,Newgate,20995157,305.0,61.9,1.9,7.5,,9.0,12.1,0.6,4.84,Composite Dishes,Chicken Casserole (Newgate),"<scratchpad>
Chicken Casserole is a dish that contains chicken, vegetables, possibly some form of broth or sauce, and seasoning. The nutritional content will depend on the exact ingredients and proportions used, but generally, casseroles are relatively balanced meals with contributions from protein (from chicken), fat (from cooking oils or butter), and carbohydrates (from vegetables or any starches used). 

A typical chicken casserole would be expected to have a moderate amount of calories and protein, a moderate amount of fat (depending on how much oil or butter is used), and some carbohydrates (mainly from vegetables or starchy components like potatoes or noodles).
</scratchpad>

<calories>120</calories>
<protein>10</protein>
<fat>6</fat>
<carbohydrates>8</carbohydrates>",120.0,10.0,6.0,8.0
Old El Paso Cheesy Enchilada Kit,Old El Paso,8410076471222,182.0,31.8,2.89,5.66,3.25,5.54,1.13,0.361,0.451,Composite Dishes,Old El Paso Cheesy Enchilada Kit,"<scratchpad>
Old El Paso Cheesy Enchilada Kit is a pre-packaged meal that typically includes tortillas, enchilada sauce, and a cheese blend. Considering the average content of these components, we can estimate the nutritional values. 

A serving is likely a combination of tortilla (high in carbohydrates), enchilada sauce (moderate in carbohydrates and fats), and cheese (high in fats and protein).

Estimated Caloric Content:
- Tortilla: 5–10% fat, 70-80% carbohydrates, 10-15% protein; around 300-350 kcal/100g
- Enchilada Sauce: 5-10% fat, 5-8% carbohydrates; around 60-100 kcal/100g
- Cheese: 30% fat, 25% protein, 2-4% carbohydrates; around 300-400 kcal/100g

Combining these, we'll average out the values based on typical usage, let's estimate around 190-220 kcal/100g for the total mix.

Estimated Caloric Breakdown (per 100g):
- Proteins: ~9-12g
- Fats: ~8-10g
- Carbohydrates: ~20-30g
</scratchpad>

<calories>205</calories>
<protein>11</protein>
<fat>9</fat>
<carbohydrates>25</carbohydrates>",205.0,11.0,9.0,25.0
Texas Gumbo with Sausage & Chicken,George & Rubie's Favorites,19966991,101.0,10.1,4.41,6.17,,0.441,0.76,1.1,0.304,Composite Dishes,Texas Gumbo with Sausage & Chicken (George & Rubie's Favorites),"<scratchpad>
Texas Gumbo with Sausage & Chicken is a hearty, rich dish that typically contains ingredients such as sausage, chicken, vegetables (like bell peppers, onions, and celery), and spices. It also often includes a roux (a mixture of fat and flour) and may contain rice. The dish is likely to be high in calories due to the presence of sausage, roux, and possibly rice.

1. **Calories**: Sausage and the roux are calorie-dense, as is possibly rice. Chicken, vegetables, and spices contribute fewer calories. Estimate about 150-200 calories per 100 grams.
2. **Protein**: Chicken and sausage provide significant amounts of protein. Estimate around 10-15 grams of protein per 100 grams.
3. **Fat**: Sausage and the roux contribute to the fat content, along with any oil or butter used. Estimate about 10-15 grams of fat per 100 grams.
4. **Carbohydrates**: While vegetables add some carbs, the main carb sources would be the roux and rice. Estimate around 10-15 grams of carbohydrates per 100 grams.
</scratchpad>

<calories>180</calories>
<protein>12</protein>
<fat>12</fat>
<carbohydrates>12</carbohydrates>",180.0,12.0,12.0,12.0
